house_size,price
1360,271463
1794,345732
1630,321329
1595,311899
2138,364485
2669,431645
966,149655
1738,343689
830,169168
1982,334988
2635,480641
3419,535903
630,169543
2185,386646
1269,209215
2891,481375
2015,381438
3353,576817
2933,534813
1715,317395
1455,369418
2824,445988
1684,290640
959,192024
521,85587
2800,501274
1247,264155
3404,561170
974,180067
1582,242448
3058,485022
2547,454361
3247,530685
1475,258443
2306,410943
689,188095
3234,542813
1062,218735
2399,451005
1767,320316
3379,547571
2028,374393
1146,214201
2568,424165
3388,596412
2714,448341
1797,239894
2935,500615
1100,203134
2863,470775
2561,447738
741,156168
2541,437598
3324,487930
3112,488508
3445,608868
1863,328893
2639,395644
1890,301324
1978,316922
3056,511470
1275,228271
534,110324
2753,463068
2455,432582
2085,354979
1521,260908
3113,504305
1629,304544
2000,349778
1202,253318
2949,457856
3277,518289
2079,385044
661,125095
701,196670
2481,464306
1495,316019
2817,446130
1315,249556
955,178447
1775,343944
1516,328598
2843,502657
3267,540324
837,164583
1378,276172
1576,249713
1291,259740
2764,437159
1263,258066
2735,455421
879,170202
992,172234
1680,291297
2562,450983
564,165915
3068,525993
1867,370966
1652,373974
