house_size,price,bedrooms,bathrooms,floors,garage,age,distance_to_city_km
1360,271463,2,1.0,2,1,10,8.5
1794,345732,2,1.1,2,1,50,14.3
1630,321329,2,1.1,1,0,22,29.4
1595,311899,2,1.0,1,1,54,15.3
2138,364485,3,1.8,1,1,37,10.5
2669,431645,3,1.9,2,1,23,19.4
966,149655,2,1.8,1,1,8,8.0
1738,343689,2,1.3,2,1,6,3.2
830,169168,1,1.0,2,0,44,4.7
1982,334988,3,1.8,1,1,34,4.7
2635,480641,3,1.2,2,0,29,5.4
3419,535903,4,2.4,3,1,30,5.0
630,169543,1,1.0,1,1,33,19.6
2185,386646,2,1.9,2,1,28,6.3
1269,209215,1,1.0,1,1,6,11.0
2891,481375,3,1.9,3,0,42,27.0
2015,381438,2,1.2,1,0,22,14.7
3353,576817,4,2.0,3,1,21,20.4
2933,534813,3,2.1,2,1,14,6.0
1715,317395,2,1.4,1,0,20,6.6
1455,369418,2,1.4,1,0,54,2.2
2824,445988,3,1.5,2,1,34,5.9
1684,290640,2,1.6,2,0,7,9.1
959,192024,1,1.0,2,1,49,6.1
521,85587,1,1.0,1,1,27,3.6
2800,501274,4,3.1,3,0,38,4.5
1247,264155,1,1.0,1,0,50,14.4
3404,561170,4,2.2,3,1,24,7.0
974,180067,1,1.0,1,1,50,11.6
1582,242448,2,1.0,1,1,17,15.6
3058,485022,4,1.9,3,1,52,21.0
2547,454361,4,2.4,3,1,32,2.1
3247,530685,4,2.1,3,1,18,24.2
1475,258443,2,1.3,1,1,18,19.2
2306,410943,3,1.5,1,1,45,3.4
689,188095,1,1.1,2,0,45,26.3
3234,542813,4,2.2,3,1,36,27.7
1062,218735,1,1.0,2,1,38,2.8
2399,451005,3,2.0,2,1,34,9.0
1767,320316,2,1.0,1,1,41,24.4
3379,547571,4,2.5,2,0,46,22.7
2028,374393,3,2.2,2,1,9,6.4
1146,214201,1,1.0,1,0,54,7.1
2568,424165,3,1.9,2,1,10,11.7
3388,596412,4,2.5,2,0,42,15.1
2714,448341,3,2.0,3,0,51,18.9
1797,239894,2,1.0,1,0,54,11.7
2935,500615,4,2.0,3,1,6,14.4
1100,203134,1,1.0,1,1,15,22.7
2863,470775,3,1.9,3,1,23,2.1
2561,447738,3,1.9,3,1,21,8.3
741,156168,1,1.0,1,1,27,21.7
2541,437598,3,1.6,3,0,24,27.0
3324,487930,4,2.5,2,1,47,15.8
3112,488508,4,2.5,3,0,16,16.4
3445,608868,5,2.8,3,1,29,4.1
1863,328893,2,1.8,1,0,21,14.0
2639,395644,3,1.9,2,1,52,16.4
1890,301324,2,1.0,1,0,5,8.0
1978,316922,3,2.0,2,1,43,8.8
3056,511470,4,2.1,3,1,54,11.9
1275,228271,2,1.4,1,1,11,1.6
534,110324,1,1.0,2,0,50,10.3
2753,463068,3,1.6,3,1,25,7.1
2455,432582,3,2.1,2,1,25,10.5
2085,354979,3,1.9,1,1,38,4.5
1521,260908,2,1.4,1,1,7,26.8
3113,504305,4,3.0,3,1,8,18.2
1629,304544,2,1.1,2,1,32,20.7
2000,349778,2,1.0,2,1,40,23.9
1202,253318,2,1.0,2,1,18,15.5
2949,457856,4,2.2,3,1,34,3.5
3277,518289,4,2.4,2,0,41,16.6
2079,385044,3,1.9,1,0,53,18.0
661,125095,1,1.0,2,1,44,22.6
701,196670,1,1.0,2,1,16,13.5
2481,464306,3,1.8,2,1,17,4.7
1495,316019,2,1.6,1,1,21,9.2
2817,446130,4,2.3,2,0,17,11.5
1315,249556,1,1.4,2,0,5,19.7
955,178447,1,1.0,1,1,21,17.6
1775,343944,2,1.0,2,1,37,11.3
1516,328598,2,1.0,2,1,25,29.6
2843,502657,3,1.9,3,0,40,18.6
3267,540324,4,2.3,3,1,28,7.9
837,164583,1,1.0,2,1,21,4.0
1378,276172,2,1.3,1,1,17,5.4
1576,249713,2,1.2,2,1,22,8.1
1291,259740,1,1.0,1,1,31,5.7
2764,437159,4,1.9,3,1,40,6.4
1263,258066,2,1.1,1,1,25,9.3
2735,455421,4,2.7,2,0,13,6.0
879,170202,1,1.0,1,1,38,27.0
992,172234,1,1.0,1,1,50,3.3
1680,291297,2,1.3,2,1,26,16.2
2562,450983,3,1.9,3,1,51,12.9
564,165915,1,1.0,1,1,45,29.5
3068,525993,4,2.4,3,1,38,4.2
1867,370966,2,1.2,2,1,45,12.5
1652,373974,2,1.0,1,1,38,29.1
