|Name|Type1
0|Bulbasaur|Grass
1|Bulbasaur|Grass
2|Bulbasaur|Grass
3|Bulbasaur|Grass
4|Ivysaur|Grass
5|Venusaur|Grass
6|Charmander|Fire
7|Charmeleon|Fire
8|Charizard|Fire
9|Squirtle|Water
10|Wartortle|Water
11|Blastoise|Water
12|Caterpie|Bug
13|Metapod|Bug
14|Butterfree|Bug
15|Weedle|Bug
16|Kakuna|Bug
17|Beedrill|Bug
18|Pidgey|Normal
19|Pidgeotto|Normal
20|Pidgeot|Normal
21|Rattata|Normal
22|Raticate|Normal
23|Spearow|Normal
24|Fearow|Normal
25|Ekans|Poison
26|Arbok|Poison
27|Pikachu|Electric
28|Raichu|Electric
29|Sandshrew|Ground
30|Sandslash|Ground
31|Nidoran♀|Poison
32|Nidorina|Poison
33|Nidoqueen|Poison
34|Nidoran♂|Poison
35|Nidorino|Poison
36|Nidoking|Poison
37|Clefairy|Fairy
38|Clefable|Fairy
39|Vulpix|Fire
40|Ninetales|Fire
41|Jigglypuff|Normal
42|Wigglytuff|Normal
43|Zubat|Poison
44|Golbat|Poison
45|Oddish|Grass
46|Gloom|Grass
47|Vileplume|Grass
48|Paras|Bug
49|Parasect|Bug
50|Venonat|Bug
51|Venomoth|Bug
52|Diglett|Ground
53|Dugtrio|Ground
54|Meowth|Normal
55|Persian|Normal
56|Psyduck|Water
57|Golduck|Water
58|Mankey|Fighting
59|Primeape|Fighting
60|Growlithe|Fire
61|Arcanine|Fire
62|Poliwag|Water
63|Poliwhirl|Water
64|Poliwrath|Water
65|Abra|Psychic
66|Kadabra|Psychic
67|Alakazam|Psychic
68|Machop|Fighting
69|Machoke|Fighting
70|Machamp|Fighting
71|Bellsprout|Grass
72|Weepinbell|Grass
73|Victreebel|Grass
74|Tentacool|Water
75|Tentacruel|Water
76|Geodude|Rock
77|Graveler|Rock
78|Golem|Rock
79|Ponyta|Fire
80|Rapidash|Fire
81|Slowpoke|Water
82|Slowbro|Water
83|Magnemite|Electric
84|Magneton|Electric
85|Farfetch'd|Normal
86|Doduo|Normal
87|Dodrio|Normal
88|Seel|Water
89|Dewgong|Water
90|Grimer|Poison
91|Muk|Poison
92|Shellder|Water
93|Cloyster|Water
94|Gastly|Ghost
95|Haunter|Ghost
96|Gengar|Ghost
97|Onix|Rock
98|Onix|Rock
99|Onix|Rock
100|Onix|Rock
101|Onix|Rock
102|Onix|Rock
103|Onix|Rock
104|Drowzee|Psychic
105|Hypno|Psychic
106|Krabby|Water
107|Kingler|Water
108|Voltorb|Electric
109|Electrode|Electric
110|Exeggcute|Grass
111|Exeggutor|Grass
112|Cubone|Ground
113|Marowak|Ground
114|Hitmonlee|Fighting
115|Hitmonchan|Fighting
116|Lickitung|Normal
117|Koffing|Poison
118|Weezing|Poison
119|Rhyhorn|Ground
120|Rhydon|Ground
121|Chansey|Normal
122|Tangela|Grass
123|Kangaskhan|Normal
124|Horsea|Water
125|Seadra|Water
126|Goldeen|Water
127|Seaking|Water
128|Staryu|Water
129|Starmie|Water
130|Mr. Mime|Psychic
131|Scyther|Bug
132|Scyther|Bug
133|Scyther|Bug
134|Scyther|Bug
135|Scyther|Bug
136|Scyther|Bug
137|Scyther|Bug
138|Scyther|Bug
139|Jynx|Ice
140|Electabuzz|Electric
141|Magmar|Fire
142|Pinsir|Bug
143|Tauros|Normal
144|Magikarp|Water
145|Gyarados|Water
146|Lapras|Water
147|Ditto|Normal
148|Eevee|Normal
149|Vaporeon|Water
150|Jolteon|Electric
151|Flareon|Fire
152|Porygon|Normal
153|Omanyte|Rock
154|Omastar|Rock
155|Kabuto|Rock
156|Kabutops|Rock
157|Aerodactyl|Rock
158|Snorlax|Normal
159|Articuno|Ice
160|Zapdos|Electric
161|Moltres|Fire
162|Dratini|Dragon
163|Dragonair|Dragon
164|Dragonite|Dragon
165|Mewtwo|Psychic
166|Mewtwo|Psychic
167|Mewtwo|Psychic
168|Mewtwo|Psychic
169|Mewtwo|Psychic
170|Mewtwo|Psychic
171|Mewtwo|Psychic
172|Mewtwo|Psychic
